"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2024","106.00","106.00","106.00","106.00","","4.47%"
"12/18/2024","101.46","101.46","101.46","101.46","","2.22%"
"12/17/2024","99.26","99.26","99.26","99.26","","3.23%"
"12/16/2024","96.15","96.15","96.15","96.15","","-7.21%"
"12/13/2024","103.62","103.62","103.62","103.62","","-0.37%"
"12/12/2024","104.01","104.01","104.01","104.01","","-6.19%"
"12/11/2024","110.87","110.87","110.87","110.87","","2.25%"
"12/10/2024","108.43","108.43","108.43","108.43","","3.62%"
"12/09/2024","104.64","104.64","104.64","104.64","","3.02%"
"12/06/2024","101.57","101.57","101.57","101.57","","-2.07%"
"12/05/2024","103.72","103.72","103.72","103.72","","1.85%"
"12/04/2024","101.84","101.84","101.84","101.84","","-3.54%"
"12/03/2024","105.58","105.58","105.58","105.58","","0.52%"
"12/02/2024","105.03","105.03","105.03","105.03","","-7.80%"
"11/29/2024","113.91","113.91","113.91","113.91","","-0.51%"
"11/27/2024","114.49","114.49","114.49","114.49","","-0.46%"
"11/26/2024","115.02","115.02","115.02","115.02","","-1.29%"
"11/25/2024","116.52","116.52","116.52","116.52","","-0.50%"
"11/22/2024","117.10","117.10","117.10","117.10","","-0.23%"
"11/21/2024","117.37","117.37","117.37","117.37","","-0.34%"
"11/20/2024","117.77","117.77","117.77","117.77","","-1.34%"
"11/19/2024","119.37","119.37","119.37","119.37","","-0.77%"
"11/18/2024","120.30","120.30","120.30","120.30","","5.10%"
"11/15/2024","114.46","114.46","114.46","114.46","","0.60%"
"11/14/2024","113.78","113.78","113.78","113.78","","1.22%"
"11/13/2024","112.41","112.41","112.41","112.41","","-1.35%"
"11/12/2024","113.95","113.95","113.95","113.95","","-0.56%"
"11/11/2024","114.59","114.59","114.59","114.59","","-2.87%"
"11/08/2024","117.98","117.98","117.98","117.98","","4.23%"
"11/07/2024","113.19","113.19","113.19","113.19","","2.01%"
"11/06/2024","110.96","110.96","110.96","110.96","","0.99%"
"11/05/2024","109.87","109.87","109.87","109.87","","-2.11%"
"11/04/2024","112.24","112.24","112.24","112.24","","13.57%"
"11/01/2024","98.83","98.83","98.83","98.83","","2.86%"
"10/31/2024","96.08","96.08","96.08","96.08","","11.59%"
"10/30/2024","86.10","86.10","86.10","86.10","","0.00%"
"10/29/2024","86.10","86.10","86.10","86.10","","-0.38%"
"10/28/2024","86.43","86.43","86.43","86.43","","0.98%"
"10/25/2024","85.59","85.59","85.59","85.59","","-0.27%"
"10/24/2024","85.82","85.82","85.82","85.82","","2.40%"
"10/23/2024","83.81","83.81","83.81","83.81","","6.20%"
"10/22/2024","78.92","78.92","78.92","78.92","","-0.11%"
"10/21/2024","79.01","79.01","79.01","79.01","","2.93%"
"10/18/2024","76.76","76.76","76.76","76.76","","0.33%"
"10/17/2024","76.51","76.51","76.51","76.51","","2.70%"
"10/16/2024","74.50","74.50","74.50","74.50","","-3.07%"
"10/15/2024","76.86","76.86","76.86","76.86","","-0.36%"
"10/14/2024","77.14","77.14","77.14","77.14","","2.81%"
"10/11/2024","75.03","75.03","75.03","75.03","","-3.55%"
"10/10/2024","77.79","77.79","77.79","77.79","","0.49%"
"10/09/2024","77.41","77.41","77.41","77.41","","-1.65%"
"10/08/2024","78.71","77.69","77.69","77.69","","1.23%"
"10/07/2024","77.75","77.75","77.75","77.75","","3.83%"
"10/04/2024","74.88","74.88","74.88","74.88","","-1.10%"
"10/03/2024","75.71","75.71","75.71","75.71","","-0.86%"
"10/02/2024","76.37","76.37","76.37","76.37","","-1.96%"
"10/01/2024","77.90","77.90","77.90","77.90","","-1.30%"
"09/30/2024","78.93","78.93","78.93","78.93","","-0.69%"
"09/26/2024","79.48","79.48","79.48","79.48","","-0.67%"
"09/25/2024","80.02","80.02","80.02","80.02","","-1.25%"
"09/24/2024","81.03","81.03","81.03","81.03","","-1.13%"
"09/23/2024","81.96","81.96","81.96","81.96","","3.85%"
"09/20/2024","78.92","78.92","78.92","78.92","","0.62%"
"09/19/2024","78.43","78.43","78.43","78.43","","-1.73%"
"09/18/2024","79.81","79.81","79.81","79.81","","-1.66%"
"09/17/2024","81.16","81.16","81.16","81.16","","0.86%"
"09/16/2024","80.47","80.47","80.47","80.47","","-4.09%"
"09/13/2024","83.90","83.90","83.90","83.90","","-1.39%"
"09/12/2024","85.08","85.08","85.08","85.08","","-2.64%"
"09/11/2024","87.39","87.39","87.39","87.39","","-0.50%"
"09/10/2024","87.83","87.83","87.83","87.83","","-2.80%"
"09/09/2024","90.36","90.36","90.36","90.36","","0.29%"
"09/06/2024","90.10","90.10","90.10","90.10","","4.16%"
"09/05/2024","86.50","86.50","86.50","86.50","","0.68%"
"09/04/2024","85.92","85.92","85.92","85.92","","-3.10%"
"09/03/2024","88.67","88.67","88.67","88.67","","8.07%"
"08/30/2024","82.05","82.05","82.05","82.05","","-0.02%"
"08/29/2024","82.07","82.07","82.07","82.07","","-0.28%"
"08/28/2024","82.30","82.30","82.30","82.30","","-0.18%"
"08/27/2024","82.45","82.45","82.45","82.45","","0.50%"
"08/26/2024","82.04","82.04","82.04","82.04","","0.02%"
"08/23/2024","82.02","82.02","82.02","82.02","","-1.45%"
"08/22/2024","83.23","83.23","83.23","83.23","","-1.77%"
"08/21/2024","84.73","84.73","84.73","84.73","","-0.20%"
"08/20/2024","84.90","84.90","84.90","84.90","","-1.67%"
"08/19/2024","86.34","86.34","86.34","86.34","","2.81%"
"08/16/2024","83.98","83.98","83.98","83.98","","-0.59%"
"08/15/2024","84.48","84.48","84.48","84.48","","0.08%"
"08/14/2024","84.41","84.41","84.41","84.41","","1.72%"
"08/13/2024","82.98","82.98","82.98","82.98","","-0.49%"
"08/12/2024","83.39","83.39","83.39","83.39","","8.76%"
"08/09/2024","76.67","76.67","76.67","76.67","","2.01%"
"08/08/2024","75.16","75.16","75.16","75.16","","-0.15%"
"08/07/2024","75.27","75.27","75.27","75.27","","-0.30%"
"08/06/2024","75.50","75.50","75.50","75.50","","3.75%"
"08/05/2024","72.77","72.77","72.77","72.77","","-3.69%"
"08/02/2024","75.56","75.56","75.56","75.56","","-1.31%"
"08/01/2024","76.56","76.56","76.56","76.56","","1.22%"
"07/31/2024","75.64","75.64","75.64","75.64","","11.73%"
"07/30/2024","67.70","67.70","67.70","67.70","","-0.27%"
"07/29/2024","67.88","67.88","67.88","67.88","","0.19%"
"07/26/2024","67.75","67.75","67.75","67.75","","-0.44%"
"07/25/2024","68.05","68.05","68.05","68.05","","-0.35%"
"07/24/2024","68.29","68.29","68.29","68.29","","1.62%"
"07/23/2024","67.20","67.20","67.20","67.20","","0.45%"
"07/22/2024","66.90","66.90","66.90","66.90","","2.39%"
"07/19/2024","65.34","65.34","65.34","65.34","","1.78%"
"07/18/2024","64.20","64.20","64.20","64.20","","2.98%"
"07/17/2024","62.34","62.34","62.34","62.34","","-1.41%"
"07/16/2024","63.23","63.23","63.23","63.23","","2.00%"
"07/15/2024","61.99","61.99","61.99","61.99","","-6.00%"
"07/12/2024","65.95","65.95","65.95","65.95","","-0.99%"
"07/11/2024","66.61","66.61","66.61","66.61","","-0.60%"
"07/10/2024","67.01","67.01","67.01","67.01","","-1.00%"
"07/09/2024","67.69","67.69","67.69","67.69","","-3.02%"
"07/08/2024","69.80","69.80","69.80","69.80","","-2.46%"
"07/05/2024","71.56","71.56","71.56","71.56","","-1.66%"
"07/03/2024","72.77","72.77","72.77","72.77","","-3.83%"
"07/02/2024","75.67","75.67","75.67","75.67","","0.33%"
"07/01/2024","75.42","75.42","75.42","75.42","","-11.53%"
"06/28/2024","85.25","85.25","85.25","85.25","","-0.53%"
"06/27/2024","85.70","85.70","85.70","85.70","","-0.29%"
"06/26/2024","85.95","85.95","85.95","85.95","","-2.34%"
"06/25/2024","88.01","88.01","88.01","88.01","","18.90%"
"06/24/2024","74.02","74.02","74.02","74.02","","-0.67%"
"06/21/2024","74.52","74.52","74.52","74.52","","2.60%"
"06/20/2024","72.63","72.63","72.63","72.63","","3.83%"
"06/18/2024","69.95","69.95","69.95","69.95","","1.33%"
"06/17/2024","69.03","69.03","69.03","69.03","","-1.62%"
"06/14/2024","70.17","70.17","70.17","70.17","","-1.17%"
"06/13/2024","71.00","71.00","71.00","71.00","","1.62%"
"06/12/2024","69.87","69.87","69.87","69.87","","-2.48%"
"06/11/2024","71.65","71.65","71.65","71.65","","-1.55%"
"06/10/2024","72.78","72.78","72.78","72.78","","-0.75%"
"06/07/2024","73.33","73.33","73.33","73.33","","-2.06%"
"06/06/2024","74.87","74.87","74.87","74.87","","-1.80%"
"06/05/2024","76.24","76.24","76.24","76.24","","-0.10%"
"06/04/2024","76.32","76.32","76.32","76.32","","3.82%"
"05/31/2024","73.51","73.51","73.51","73.51","","9.37%"
"05/30/2024","67.21","67.21","67.21","67.21","","-0.24%"
"05/29/2024","67.37","67.37","67.37","67.37","","0.73%"
"05/28/2024","66.88","66.88","66.88","66.88","","-0.79%"
"05/24/2024","67.41","67.41","67.41","67.41","","0.07%"
"05/23/2024","67.36","67.36","67.36","67.36","","-0.16%"
"05/22/2024","67.47","67.47","67.47","67.47","","-0.16%"
"05/21/2024","67.58","67.58","67.58","67.58","","6.06%"
"05/20/2024","63.72","63.72","63.72","63.72","","7.74%"
"05/17/2024","59.14","59.14","59.14","59.14","","3.72%"
"05/16/2024","57.02","57.02","57.02","57.02","","0.41%"
"05/15/2024","56.79","56.79","56.79","56.79","","0.19%"
"05/14/2024","56.68","56.68","56.68","56.68","","0.76%"
"05/13/2024","56.25","56.25","56.25","56.25","","-11.11%"
"05/10/2024","63.28","63.28","63.28","63.28","","-4.28%"
"05/09/2024","66.11","66.11","66.11","66.11","","3.86%"
"05/08/2024","63.65","63.65","63.65","63.65","","-0.24%"
"05/07/2024","63.80","63.80","63.80","63.80","","-4.53%"
"05/06/2024","66.83","66.83","66.83","66.83","","2.36%"
"05/03/2024","65.29","65.29","65.29","65.29","","2.10%"
"05/02/2024","63.95","63.95","63.95","63.95","","5.75%"
"05/01/2024","60.47","60.47","60.47","60.47","","0.00%"
"04/30/2024","60.47","60.47","60.47","60.47","","-3.03%"
"04/29/2024","62.36","62.36","62.36","62.36","","-0.80%"
"04/26/2024","62.86","62.86","62.86","62.86","","-0.41%"
"04/25/2024","63.12","63.12","63.12","63.12","","0.51%"
"04/24/2024","62.80","62.80","62.80","62.80","","-0.10%"
"04/23/2024","62.86","62.86","62.86","62.86","","0.72%"
"04/22/2024","62.41","62.41","62.41","62.41","","-0.21%"
"04/19/2024","62.54","62.54","62.54","62.54","","-0.21%"
"04/18/2024","62.67","62.67","62.67","62.67","","-0.62%"
"04/17/2024","63.06","63.06","63.06","63.06","","-2.22%"
"04/16/2024","64.49","64.49","64.49","64.49","","4.20%"
"04/15/2024","61.89","61.89","61.89","61.89","","6.34%"
"04/12/2024","58.20","58.20","58.20","58.20","","2.85%"
"04/11/2024","56.59","56.59","56.59","56.59","","6.45%"
"04/10/2024","53.16","53.16","53.16","53.16","","-2.24%"
"04/09/2024","54.38","54.38","54.38","54.38","","2.91%"
"04/08/2024","52.84","52.84","52.84","52.84","","4.47%"
"04/05/2024","50.58","50.58","50.58","50.58","","0.48%"
"04/04/2024","50.34","50.34","50.34","50.34","","-1.78%"
"04/03/2024","51.25","51.25","51.25","51.25","","-1.37%"
"04/02/2024","51.96","51.96","51.96","51.96","","-4.80%"
"04/01/2024","54.58","54.58","54.58","54.58","","-14.85%"
"03/28/2024","64.10","64.10","64.10","64.10","","0.80%"
"03/27/2024","63.59","63.59","63.59","63.59","","0.65%"
"03/26/2024","63.18","63.18","63.18","63.18","","-0.61%"
"03/25/2024","63.57","63.57","63.57","63.57","","2.15%"
"03/22/2024","62.23","62.23","62.23","62.23","","0.63%"
"03/21/2024","61.84","61.84","61.84","61.84","","0.19%"
"03/20/2024","61.72","61.72","61.72","61.72","","-1.77%"
"03/19/2024","62.83","62.83","62.83","62.83","","1.16%"
"03/18/2024","62.11","62.11","62.11","62.11","","1.11%"
"03/15/2024","61.43","61.43","61.43","61.43","","2.26%"
"03/14/2024","60.07","60.07","60.07","60.07","","1.18%"
"03/13/2024","59.37","59.37","59.37","59.37","","2.01%"
"03/12/2024","58.20","58.20","58.20","58.20","","3.14%"
"03/11/2024","56.43","56.43","56.43","56.43","","-7.88%"
"03/08/2024","61.26","61.26","61.26","61.26","","-1.78%"
"03/07/2024","62.37","62.37","62.37","62.37","","-1.70%"
"03/06/2024","63.45","63.45","63.45","63.45","","0.52%"
"03/05/2024","63.12","63.12","63.12","63.12","","3.87%"
"03/04/2024","60.77","60.77","60.77","60.77","","-0.82%"
"03/01/2024","61.27","61.27","61.27","61.27","","2.92%"
"02/29/2024","59.53","59.53","59.53","59.53","","-2.95%"
"02/28/2024","61.34","61.34","61.34","61.34","","0.21%"
"02/27/2024","61.21","61.21","61.21","61.21","","-0.13%"
"02/26/2024","61.29","61.29","61.29","61.29","","-0.05%"
"02/23/2024","61.32","61.32","61.32","61.32","","1.36%"
"02/22/2024","60.50","60.50","60.50","60.50","","-0.61%"
"02/21/2024","60.87","60.87","60.87","60.87","","1.55%"
"02/20/2024","59.94","59.94","59.94","59.94","","2.20%"
"02/16/2024","58.65","58.65","58.65","58.65","","-0.66%"
"02/15/2024","59.04","59.04","59.04","59.04","","-1.57%"
"02/14/2024","59.98","59.98","59.98","59.98","","-2.26%"
"02/13/2024","61.37","61.37","61.37","61.37","","-1.06%"
"02/12/2024","62.03","62.03","62.03","62.03","","-4.05%"
"02/09/2024","64.65","64.65","64.65","64.65","","-5.09%"
"02/08/2024","68.12","68.12","68.12","68.12","","-3.35%"
"02/07/2024","70.48","70.48","70.48","70.48","","-1.97%"
"02/06/2024","71.90","71.90","71.90","71.90","","1.99%"
"02/05/2024","70.50","70.50","70.50","70.50","","1.47%"
"02/02/2024","69.48","69.48","69.48","69.48","","0.45%"
"02/01/2024","69.17","69.17","69.17","69.17","","-6.12%"
"01/31/2024","73.68","73.68","73.68","73.68","","-3.77%"
"01/30/2024","76.57","76.57","76.57","76.57","","0.14%"
"01/29/2024","76.46","76.46","76.46","76.46","","0.37%"
